bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Delhi,Salaried - Government/PSU,8.99,5000000,20,44954.0,5788995.0,10788995.0
SBI,Delhi,Salaried - Government/PSU,8.99,5000000,25,41926.0,7577675.0,12577675.0
SBI,Delhi,Salaried - Government/PSU,8.99,7500000,15,76025.0,6184569.0,13684569.0
SBI,Delhi,Salaried - Government/PSU,8.99,7500000,20,67431.0,8683493.0,16183493.0
SBI,Delhi,Salaried - Government/PSU,8.99,7500000,25,62888.0,11366513.0,18866513.0
SBI,Delhi,Self-Employed - Professional,9.09,3000000,15,30589.0,2505988.0,5505988.0
SBI,Delhi,Self-Employed - Professional,9.09,3000000,20,27166.0,3519761.0,6519761.0
SBI,Delhi,Self-Employed - Professional,9.09,3000000,25,25361.0,4608312.0,7608312.0
SBI,Delhi,Self-Employed - Professional,9.09,5000000,15,50981.0,4176647.0,9176647.0
SBI,Delhi,Self-Employed - Professional,9.09,5000000,20,45276.0,5866268.0,10866268.0
SBI,Delhi,Self-Employed - Professional,9.09,5000000,25,42268.0,7680520.0,12680520.0
SBI,Delhi,Self-Employed - Professional,9.09,7500000,15,76472.0,6264971.0,13764971.0
SBI,Delhi,Self-Employed - Professional,9.09,7500000,20,67914.0,8799402.0,16299402.0
SBI,Delhi,Self-Employed - Professional,9.09,7500000,25,63403.0,11520780.0,19020780.0
SBI,Delhi,Self-Employed - Business,9.09,3000000,15,30589.0,2505988.0,5505988.0
SBI,Delhi,Self-Employed - Business,9.09,3000000,20,27166.0,3519761.0,6519761.0
SBI,Delhi,Self-Employed - Business,9.09,3000000,25,25361.0,4608312.0,7608312.0
SBI,Delhi,Self-Employed - Business,9.09,5000000,15,50981.0,4176647.0,9176647.0
SBI,Delhi,Self-Employed - Business,9.09,5000000,20,45276.0,5866268.0,10866268.0
SBI,Delhi,Self-Employed - Business,9.09,5000000,25,42268.0,7680520.0,12680520.0
SBI,Delhi,Self-Employed - Business,9.09,7500000,15,76472.0,6264971.0,13764971.0
SBI,Delhi,Self-Employed - Business,9.09,7500000,20,67914.0,8799402.0,16299402.0
SBI,Delhi,Self-Employed - Business,9.09,7500000,25,63403.0,11520780.0,19020780.0
SBI,Delhi,Self-Employed - SME,9.09,3000000,15,30589.0,2505988.0,5505988.0
SBI,Delhi,Self-Employed - SME,9.09,3000000,20,27166.0,3519761.0,6519761.0
SBI,Delhi,Self-Employed - SME,9.09,3000000,25,25361.0,4608312.0,7608312.0
SBI,Delhi,Self-Employed - SME,9.09,5000000,15,50981.0,4176647.0,9176647.0
SBI,Delhi,Self-Employed - SME,9.09,5000000,20,45276.0,5866268.0,10866268.0
